"source","version","provider","variable","operator","frequency","resolution","region","updates","experiment","member","url"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r1i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r1i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r1i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r1i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r1i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r1i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r1i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r1i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r1i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r1i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r1i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r1i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r1i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r1i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r1i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r2i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r2i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r2i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r2i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r2i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r2i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r2i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r2i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r2i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r2i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r2i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r2i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r2i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r2i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r2i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r3i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r3i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r3i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r3i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r3i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r3i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r3i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r3i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r3i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r3i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r3i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r3i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r3i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r3i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r3i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r4i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r4i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r4i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r4i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r4i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r4i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r4i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r4i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r4i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r4i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r4i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r4i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r4i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r4i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r4i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r5i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r5i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r5i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r5i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r5i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r5i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r5i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r5i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r5i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r5i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r5i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r5i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r5i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r5i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r5i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r6i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r6i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r6i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r6i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r6i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r6i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r6i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r6i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r6i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r6i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r6i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r6i1p1_20010101-20501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r6i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r6i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r6i1p1_20510101-21001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r7i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r7i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r7i1p1_18600101-18991231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r7i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r7i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r7i1p1_19000101-19501231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r7i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r7i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r7i1p1_19510101-20001231.nc"
"ECEARTH23","v1.0","EC-Earth-Consortium","temperature","minimum","day","T159L62","global","no","rcp85","r7i1p1","https://climexp.knmi.nl/KNMI14Data/CMIP5/output/KNMI/ECEARTH23/rcp85/day/atmos/day/r7i1p1/v1/tasmin/tasmin_day_ECEARTH23_rcp85_r7i1p1_20010101-20501231.nc"
